Date,CPI National Year on Year Inflation,Advances by banks,Auto Sales,Consumer Confidence Index,Call Money Rate (End of Period),IMF Commodity Prices,National Consumer Price Index,Credit to the Private Sector,Deposits of Banks,Deposit Rate,Pakistani Rupee to US Dollar Nominal Exchange Rate,Economic Policy Uncertainty,Fertilizers Sales,Karachi Stock Exchange 100 Index,KIBOR 1 Year Interest Rate,KIBOR 6 months Interest Rate,Karachi Stock Exchange All Shares Index,Lending Rate,International Oil Prices,SBP Policy Rate,Public Sector Borrowing,Real Output - Quantum Index of Large-Scale Manufacturing Industries,Real Effective Exchange Rate,Weighted Average Overnight Repo Rate 
2017-10-01,-0.5762908468487205,-0.0653493156725812,1.0053182104599874,0.6878810046330159,-0.7371037911746426,-0.38002035543725055,-0.026932493878978624,-0.0570397778766321,-0.02386511306858654,-0.6970509383378016,-0.0518016435132765,1.3472972706458561,-0.02127247038743056,0.016904111462117653,-0.6741116751269026,-0.6666666666666654,0.1648462701749178,-0.8841870824053447,-0.31961843466268264,-0.7392804337111878,0.001827940848203594,0.05663823985902878,1.147372283524953,-0.7048761509872818
2017-11-01,-0.5544823391157322,-0.032005644598744394,0.7254442344045369,0.6088758839307487,-0.749533871970168,-0.3530885461520396,-0.010842952081146976,-0.027096830100280984,-0.001273242774570723,-0.6841823056300268,-0.05111098963932431,0.10962310436933768,-0.007090426900712686,0.04871471550921729,-0.6741116751269026,-0.6646279306829754,0.2268921599080979,-0.8841870824053447,-0.2026203884610967,-0.7392804337111878,0.018916889952995893,0.07754113278599176,1.188918566904456,-0.7138823715590027
2017-12-01,-0.44850757446737194,0.032005644598744394,0.4817643352236925,0.4913435747378684,-0.7047855811062772,-0.33617787520551157,0.010842952081147307,0.027096830100281324,0.04487188402558424,-0.6906166219839142,0.01276581714504871,-0.04457658752109863,0.007090426900710576,0.08602301913919602,-0.6700507614213188,-0.6585117227319051,0.3063571381792994,-0.8930957683741644,-0.1780255143087004,-0.7392804337111878,-0.009033112062208774,0.10290790839945217,0.8648258216365939,-0.6802956368500588
2018-01-01,-0.4945263982459806,0.03872194738656682,1.0300189035916825,0.3738112655449887,-0.7594779366065879,-0.19212401158694134,0.020869767984143826,0.04577480643559553,0.0025813584402467273,-0.6756032171581768,0.03718858755209191,-0.18334867535529137,0.021271249150420227,0.3754771044477973,-0.6619289340101513,-0.6544342507645247,0.5452663783112159,-0.8930957683741644,-0.06194690265486742,-0.7313947757516018,-0.003570183465608016,0.123622801555283,0.5735588715595709,-0.723644915814602
2018-02-01,-0.6526380515675543,0.05737118849271574,0.9820289855072464,0.44257498171177717,-0.6898694841516471,-0.18304235496750954,0.019004313862656174,0.07073825435356088,-0.005530793483238739,-0.6970509383378016,0.037511355442933755,-0.38475217404810014,0.03545227370230913,0.30997397593714754,-0.6192893401015218,-0.6136595310907226,0.4983816806368255,-0.879732739420935,-0.12285944144351237,-0.6899950714637753,0.004760045509789139,0.13865636237460865,0.4341302321276256,-0.6624424213163611
2018-03-01,-0.7963734681328709,0.10438736058883427,1.0981726528040328,0.5113386978785663,-0.6848974518334369,-0.19682142018319881,0.022502040340445402,0.10103205087879547,0.06950884649679609,-0.6991957104557641,0.06944975883512026,0.03029189432517164,0.04963311079988426,0.49774934130762777,-0.5949238578680193,-0.5973496432212017,0.661203774856839,-0.8663697104677055,-0.09918400183886937,-0.6899950714637753,0.049097905542165594,0.15326551374041364,0.3501914011622897,-0.654680153804386
2018-04-01,-0.6832885877101872,0.11132611188172,1.4500315059861373,0.589368446720312,-0.6699813548788068,-0.18930556642918658,0.039990672729392544,0.13061306045108761,0.03485742471344172,-0.6520107238605899,0.12504566037703108,0.4654342407256226,0.06381370476364691,0.4919692727542669,-0.58477157360406,-0.5993883792048917,0.6916691550792755,-0.8841870824053447,0.002413515687851736,-0.6899950714637753,0.045780813366509014,0.16321185464768556,0.29552802258467537,-0.6418724122815498
2018-05-01,-0.5178185951804211,0.16432786780093167,0.9401890359168242,0.6673981955620576,-0.6600372902423867,-0.17897126751741962,0.06354203101317481,0.15702263286953003,0.032706831749326835,-0.6648793565683646,0.125207044322452,-0.35194609168223023,0.07799412612096339,0.2781924987752552,-0.5563451776649737,-0.5810397553516807,0.4971836376406604,-0.879732739420935,0.10975749913802992,-0.6722523410547068,0.0740203312793283,0.1679594957253417,0.45988178746867747,-0.6454405514981083
2018-06-01,-0.3791740770324478,0.2453853320611605,0.31914303717706366,0.5562058034625695,-0.5108763206960845,-0.24786659359586644,0.08779293459251467,0.20878712898433788,0.12731786743155718,-0.6026809651474531,0.18943438397752418,-0.13472174310414048,0.09217455861418213,0.20248363332002445,-0.48121827411167417,-0.5015290519877663,0.4035308021420577,-0.8440979955456566,0.0796460176991148,-0.5914243469689503,0.09234790768287394,0.17972405805077526,0.3275273878865202,-0.48204732268935435
2018-07-01,-0.20643109020777628,0.23882297287545803,0.5867170762444864,0.44501341136308226,-0.4661280298321939,-0.37156501996398633,0.10644747580739188,0.20495451109254703,0.06717500913355126,-0.5447721179624665,0.28606692574863496,-0.1606249312034548,0.10635483334881805,0.26733383415394324,-0.3532994923857859,-0.3771661569826696,0.44265045082826593,-0.7772828507795096,0.09550626364785626,-0.48299655002464276,0.060403158195224675,0.2020447234637253,0.18549384144446598,-0.4496811706377654
